event,gender,national_record,national_name,national_venue,national_date,oly_bronze_perf,oly_bronze_name,oly_bronze_country,asiad_bronze_perf,asiad_bronze_name,asiad_bronze_country,world_record,wr_name,wr_country,wr_venue,wr_date,asian_record,ar_name,ar_country,ar_venue,ar_date,asiad_gold_perf,national_record_formatted,oly_bronze_perf_formatted,asiad_bronze_perf_formatted,world_record_formatted,asian_record_formatted,asiad_gold_perf_formatted,national_record_age,asian_record_percent,national_record_percent,national_record_timedelta
100 metres,men,10.21,Anil KUMAR,Bangalore (IND),2000-07-05,9.91,Andre De Grasse,CAN,10.15,Kei Takase,JPN,9.58,Usain BOLT,JAM,Berlin (Olympiastadion),2009-08-16,9.87,Yoshihide KIRYU,JPN,"Austin, TX (USA)",2009-08-16,9.93,0 days 00:00:10.210000000,0 days 00:00:09.910000000,0 days 00:00:10.150000000,0 days 00:00:09.580000000,0 days 00:00:09.870000000,0 days 00:00:09.930000000,18.0,97.0,93.4,0 days 00:00:10.210000000
200 metres,men,20.66,Dharmbir SINGH,Wuhan (CHN),2015-06-07,20.12,Christophe LEMAITRE,FRA,20.82,Yeo Ho-Su-Ah,KOR,19.19,Usain BOLT,JAM,Berlin (Olympiastadion),2009-08-20,19.97,Femi OGUNODE,QAT,Bruxelles (BEL),2009-08-20,20.14,0 days 00:00:20.660000000,0 days 00:00:20.120000000,0 days 00:00:20.820000000,0 days 00:00:19.190000000,0 days 00:00:19.970000000,0 days 00:00:20.140000000,3.0,95.9,92.3,0 days 00:00:20.660000000
400 metres,men,45.24,Mohammed Anas YAHIYA,Noveho Mesta nad Metuji (CZE),2018-07-21,43.85,LaShawn Merritt,USA,45.92,Arokia Rajiv,IND,43.03,Wayde VAN NIEKERK,RSA,Rio de Janeiro (Est dio Ol¡mpico),2016-08-14,43.93,Youssef Ahmed MASRAHI,KSA,Beijing (CHN),2016-08-14,44.46,0 days 00:00:45.240000000,0 days 00:00:43.850000000,0 days 00:00:45.920000000,0 days 00:00:43.030000000,0 days 00:00:43.930000000,0 days 00:00:44.460000000,0.0,97.9,94.9,0 days 00:00:45.240000000
800 metres,men,1:45.65,Jinson JOHNSON,Guwahati (IND),2018-06-27,01:42.93,Clayton Murphy,USA,01:48.25,Jamal Al-Hayrani,QAT,01:40.91,David RUDISHA,KEN,London (Olympic Stadium),2012-08-09,01:42.79,Yusuf Saad KAMEL,BRN,Monaco (MON),2012-08-09,01:47.48,0 days 00:01:45.650000000,0 days 00:01:42.930000000,0 days 00:01:48.250000000,0 days 00:01:40.910000000,0 days 00:01:42.790000000,0 days 00:01:47.480000000,0.0,98.1,95.3,0 days 00:01:45.650000000
1500 metres,men,03:37.86,Jinson JOHNSON,Gold Coast (AUS),2018-04-14,03:50.24,Nicholas Willis,NZL,03:42.50,Adnan Taees Akkar,IRQ,03:26.00,Hicham EL GUERROUJ,MAR,Roma (Stadio Olimpico),1998-07-14,03:29.14,Rashid RAMZI,BRN,Roma (ITA),1998-07-14,03:40.23,0 days 00:03:37.860000000,0 days 00:03:50.240000000,0 days 00:03:42.500000000,0 days 00:03:26.000000000,0 days 00:03:29.140000000,0 days 00:03:40.230000000,0.0,98.5,94.2,0 days 00:03:37.860000000
5000 metres,men,13:29.70,Bahadur PRASAD,Birmingham (GBR),1992-06-27,13:04.35,Hagos Gebrhiwet,ETH,13:28.08,Albert Rop,BRN,12:37.35,Kenenisa BEKELE,ETH,Hengelo (Blankers-Koen Stadion),2004-05-31,12:51.96,Albert ROP,BRN,Monaco (MON),2004-05-31,13:26.13,0 days 00:13:29.700000000,0 days 00:13:04.350000000,0 days 00:13:28.080000000,0 days 00:12:37.350000000,0 days 00:12:51.960000000,0 days 00:13:26.130000000,26.0,98.1,93.1,0 days 00:13:29.700000000
10000 metres,men,28:02.89,Surendra Singh KUMAR,Vigo (ESP),2008-07-12,27:06.26,Tamirat Tola,ETH,28:45.65,Isaac Korir,BRN,26:17.53,Kenenisa BEKELE,ETH,Bruxelles (Boudewijnstadion),2005-08-26,26:38.76,Ahmad Hassan ABDULLAH,QAT,Bruxelles (BEL),2005-08-26,28:11.20,0 days 00:28:02.890000000,0 days 00:27:06.260000000,0 days 00:28:45.650000000,0 days 00:26:17.530000000,0 days 00:26:38.760000000,0 days 00:28:11.200000000,10.0,98.7,93.3,0 days 00:28:02.890000000
110 metres hurdles,men,13.43,Siddhanth THINGALAYA,"San Diego, CA (USA)",2017-04-01,13.24,Dimitri Bascou,FRA,13.61,Jumrut Rittidet,THA,12.8,Aries MERRITT,USA,Bruxelles (Boudewijnstadion),2012-09-07,12.87,Xiang LIU,CHN,"Eugene, OR (USA)",2012-09-07,13.36,0 days 00:00:13.430000000,0 days 00:00:13.240000000,0 days 00:00:13.610000000,0 days 00:00:12.080000000,0 days 00:00:12.870000000,0 days 00:00:13.360000000,1.0,93.5,88.8,0 days 00:00:13.430000000
400 metres hurdles,men,49.45,A. DHARUN,Patiala (IND),2018-03-08,47.92,Yasmani Copello,TUR,50.29,Cheng Wen,CHN,46.78,Kevin YOUNG,USA,Barcelona (Estadio Ol¡mpico),1992-08-06,46.98,Abderrahman SAMBA,QAT,Paris (FRA),1992-08-06,49.71,0 days 00:00:49.450000000,0 days 00:00:47.920000000,0 days 00:00:50.290000000,0 days 00:00:46.780000000,0 days 00:00:46.980000000,0 days 00:00:49.710000000,0.0,99.6,94.3,0 days 00:00:49.450000000
3000 metres steeplechase,men,08:30.88,Gopal Saini,Rajasthan,1981-06-05,08:11.52,Mahiedine Mekhissi,FRA,08:40.39,Naveen Kumar,IND,07:53.63,Saif Saaeed SHAHEEN,QAT,Bruxelles (Boudewijnstadion),2004-09-03,07:53.63,Saif Saaeed SHAHEEN,QAT,Bruxelles (BEL),2004-09-03,08:28.72,0 days 00:08:30.880000000,0 days 00:08:11.520000000,0 days 00:08:40.390000000,0 days 00:07:53.630000000,0 days 00:07:53.630000000,0 days 00:08:28.720000000,37.0,100.0,92.1,0 days 00:08:30.880000000
